Modules,Test Case ID,Test Case,Expected Result,Actual Result,Status,Performed Date
Onboarding ,TC_01,Verify whether the first onboarding includes payment step along with account connection and config. ,Payment step should appear in the first onboarding flow along with account connection and configuration screens.,"While onboarding for the first time, the payment step appeared along with account connection and configuration.",Pass,02/21/2026
,TC_02,Connect single etsy shop and check whether the app's functionality is working accurately.,"The application should work smoothly with one Etsy shop connected, without errors or missing features.",The app's functionality is working smoothly with all the sections rendering correctly when only one etsy shop is connected.,Pass,02/21/2026
,TC_03,Verify whether the selected config options while onboarding are reflected accurately in the app.,All selections made during onboarding should appear correctly in the app (config section),All the selected settings are rendered accurately to config section.,Pass,02/21/2026
,TC_04,Verify the overall functionality of app with just one account connected.,All modules of the app should operate correctly with no multi-account dependency issues.,Same as expected,Pass,02/21/2026
,TC_05,"Click on ""add account"" button and check whether it's redirecting to onboarding flow.",Clicking “Add Account” should take the user to the onboarding workflow for adding a new shop.,Same as expected,Pass,02/21/2026
,TC_06,Verify when redirected to onboarding for adding another account does not contain pricing step.,Pricing step should be skipped when adding a second or further Etsy account.,Same as expected,Pass,02/21/2026
,TC_07,"Verify when we click on ""connect etsy store"" button, it is working and redirecting to the etsy login form.",Clicking the button opens the Etsy authorization screen for login and approval.,Same as expected,Pass,02/21/2026
,TC_08,"Verify whether the ""create store"" link is redirecting to etsy marketplace or not.",Clicking the link should open the Etsy marketplace “create shop” page.,Same as expected,Pass,02/21/2026
,TC_09,Verify that the configuration settings selected during onboarding are correctly reflected and applied within the app after completion of the onboarding process.,All configured settings should be applied and shown accurately in the app after onboarding is completed.,Same as expected,Pass,02/21/2026
,TC_10,"Verify that post-onboarding activities for each store are executed and reflected independently, ensuring that actions performed in one store do not impact or trigger activities in other connected stores.",Any activity triggered for one store should reflect only in that store and not impact others.,Failed,,02/21/2026
Dashboard,TC_11,Verify the account switcher is clickable and redirecting to the desired shop when enabled.,Selecting a store from the switcher should open that store's dashboard without delay or error.,Same as expected,Pass,02/21/2026
,TC_12,"Check whether the ""add account"" button is visible in every section of the app. ",The Add Account button should appear in all major sections of the app UI.,Same as expected,Pass,02/21/2026
,TC_13,"Verify when any of the banner or help guide is removed from one store, it stays visible in other connected stores.",Removal should apply only to the selected store; the banner remains intact for others.,Failed,,02/21/2026
,TC_14,Verify whether the Etsy shop status is displaying the connected shops accurately along with its status and language for each account.,Store list must display each connected shop with correct connection status and language.,Same as expected,Pass,02/21/2026
,TC_15,Verify the plan overview section displaying the same plan details in every shop.,Subscription plan information should remain identical across all stores.,Same as expected,Pass,02/21/2026
,TC_16,Verify if seller fetches order(s) in one shop then the order count is updating for that specific shop unaffecting other connected shops.,Order count should be updated specifically to one shop instead of updating to all other connected shops.,Same as expected,Pass,02/21/2026
,TC_17,Verify if seller imports or creates product(s) in one shop then the product count is updating for all the connected shops.,Product count should be updated to all the connected shops. ,Same as expected,Pass,02/21/2026
Products,TC_18,Verify whether the switcher on product grid is displaying the same connected shops.,Product grid switcher should list all connected shops consistently.,Same as expected,Pass,02/22/2026
,TC_19,Verify when any of the product is created for a specific shop then it is created to every shop through webhook or not.,Newly created product should appear  in every connected store.,Same as expected,Pass,02/22/2026
,TC_20,,,,,02/22/2026
,TC_21,"Verify that when single product import is triggered for a specific store, the product gets imported to all the connected shops.",The single product should get imported to all the connected shops.,Same as expected,Pass,02/22/2026
,TC_22,"Verify that when a product is updated in one shop, the update applies only to that specific shop and does not impact or overwrite the product details in other connected shops.",Product edit should stay isolated to the selected store.,Same as expected,Pass,02/22/2026
,TC_23,Verify whether on deleting a product its getting deleted from every shop or not.,Deleted product should only be removed for the specific store.,Same as expected,Pass,02/22/2026
,TC_24,"Verify that any updates performed through the app apply independently to each shop, ensuring that updates made in one shop do not impact or reflect in any other connected shops.",Changes take effect only within the selected store.,Same as expected (except importing),Pass,02/22/2026
,TC_25,"Verify the price and inventory is updated through app then it stays updated to that specific shop independently, ensuring that updates made in one shop do not impact or reflect in any other connected shops.",Updated price/inventory sync should not affect any other store.,Same as expected,Pass,02/22/2026
